Category,Car Name,Features,Price Per Day (INR),Number of Seats,Air Conditioning,Safety Rating,Fuel Type
Hatchback,Hyundai Santro,"Parking Sensors, Air Conditioning, Manual Transmission, Heated Seats, Blind Spot Monitor",1059,7,No,4.8,Petrol
Luxury,Lexus LS,"Backup Camera, Parking Sensors, Blind Spot Monitor",11406,4,Yes,3.5,Petrol
Hatchback,Maruti Suzuki Swift,"Electric Engine, Bluetooth, Air Conditioning, Hybrid Engine, Leather Seats, Parking Sensors",2759,4,No,3.9,Electric
Off-Road,Ford Bronco,"Sunroof, Heated Seats, Leather Seats, All-Wheel Drive, GPS Navigation, Cruise Control",4258,6,No,4.0,Diesel
Vintage,Ford Model T,"Electric Engine, Manual Transmission, Parking Sensors, Backup Camera",10850,4,Yes,4.6,Electric
Hatchback,Hyundai i20,"GPS Navigation, Parking Sensors, Lane Departure Warning",2479,5,No,3.1,Petrol
Hatchback,Tata Tiago,"Lane Departure Warning, Cruise Control, Heated Seats, Hybrid Engine, Leather Seats, Blind Spot Monitor",1493,5,Yes,3.2,Electric
Luxury,BMW 7 Series,"Parking Sensors, Air Conditioning, Hybrid Engine",8081,7,No,4.9,Diesel
Vintage,Plymouth Road Runner,"Lane Departure Warning, Bluetooth, Backup Camera, Hybrid Engine, Manual Transmission, Heated Seats",6342,5,No,3.1,Hybrid
Hatchback,Tata Altroz,"Backup Camera, Automatic Transmission, Parking Sensors, Air Conditioning, Blind Spot Monitor, Cruise Control",2589,4,No,4.9,Petrol
Hatchback,Honda Jazz,"Leather Seats, Cruise Control, Sunroof, Electric Engine, Automatic Transmission, GPS Navigation",2545,4,Yes,4.3,Electric
Vintage,Plymouth Road Runner,"Automatic Transmission, Air Conditioning, Blind Spot Monitor, GPS Navigation, Bluetooth",8636,4,Yes,4.0,Electric
Hatchback,Nissan Magnite,"Backup Camera, Heated Seats, All-Wheel Drive",2019,5,No,5.0,Petrol
Luxury,BMW 7 Series,"Blind Spot Monitor, GPS Navigation, Hybrid Engine, Bluetooth, Automatic Transmission, Electric Engine",6432,4,Yes,3.6,Diesel
Off-Road,Land Rover Defender,"GPS Navigation, Backup Camera, Air Conditioning, Electric Engine",3473,7,No,4.0,Diesel
SUV,Toyota Fortuner,"Cruise Control, Electric Engine, Backup Camera",5403,5,No,4.1,Diesel
Luxury,Audi A8,"Backup Camera, All-Wheel Drive, Cruise Control, Manual Transmission",8234,4,Yes,3.8,Diesel
Electric,MG ZS EV,"Blind Spot Monitor, Leather Seats, Heated Seats, Hybrid Engine",2665,7,No,4.6,Electric
Vintage,Ford Model T,"Backup Camera, Heated Seats, Blind Spot Monitor, Electric Engine, Lane Departure Warning",14023,5,Yes,3.6,Hybrid
Off-Road,Toyota Land Cruiser,"All-Wheel Drive, Blind Spot Monitor, Bluetooth, Parking Sensors, GPS Navigation, Electric Engine",5145,5,Yes,3.6,Electric
Vintage,Ford Model T,"Blind Spot Monitor, Sunroof, Manual Transmission, Lane Departure Warning",11922,5,Yes,3.1,Diesel
Hatchback,Maruti Suzuki Celerio,"Cruise Control, Hybrid Engine, All-Wheel Drive, Lane Departure Warning, Backup Camera",2313,6,Yes,3.3,Hybrid
Off-Road,Land Rover Defender,"Heated Seats, Blind Spot Monitor, Electric Engine, Cruise Control, Parking Sensors",5861,5,No,3.4,Hybrid
SUV,Jeep Compass,"Cruise Control, Electric Engine, Parking Sensors",5960,5,No,3.5,Electric
Off-Road,Ford Bronco,"Blind Spot Monitor, All-Wheel Drive, Parking Sensors, Cruise Control, Backup Camera",4353,7,Yes,4.3,Electric
Luxury,Audi A8,"Manual Transmission, Leather Seats, Air Conditioning, Electric Engine",10749,6,Yes,3.3,Diesel
Hatchback,Maruti Suzuki Celerio,"Hybrid Engine, Lane Departure Warning, Air Conditioning, Parking Sensors",2173,5,Yes,3.9,Diesel
Electric,Tata Nexon EV,"Air Conditioning, Blind Spot Monitor, Sunroof",2885,6,Yes,4.5,Electric
Electric,Tata Nexon EV,"Heated Seats, Blind Spot Monitor, GPS Navigation, Leather Seats, Sunroof, Air Conditioning",2523,6,Yes,4.6,Electric
Luxury,Jaguar XJ,"Air Conditioning, Backup Camera, Cruise Control",9973,4,Yes,3.1,Diesel
SUV,Ford Endeavour,"Air Conditioning, Sunroof, GPS Navigation, Automatic Transmission",5608,4,No,3.7,Petrol
Hatchback,Maruti Suzuki Celerio,"Lane Departure Warning, Parking Sensors, Air Conditioning, Bluetooth, All-Wheel Drive",2018,5,No,3.5,Diesel
SUV,Toyota Fortuner,"GPS Navigation, Bluetooth, Sunroof, Parking Sensors, Automatic Transmission",3476,5,No,3.4,Diesel
Vintage,Plymouth Road Runner,"Sunroof, All-Wheel Drive, Electric Engine, Lane Departure Warning, GPS Navigation",5924,7,No,3.7,Petrol
SUV,Jeep Compass,"Sunroof, Heated Seats, Backup Camera, Leather Seats",3648,4,No,3.1,Diesel
Luxury,Lexus LS,"Backup Camera, Manual Transmission, Air Conditioning, Blind Spot Monitor, Automatic Transmission, Electric Engine",7262,4,Yes,4.8,Diesel
Off-Road,Jeep Wrangler,"All-Wheel Drive, Manual Transmission, Blind Spot Monitor, Heated Seats",3768,5,No,4.2,Petrol
Hatchback,Volkswagen Polo,"Cruise Control, Leather Seats, Blind Spot Monitor, Electric Engine",1066,6,No,4.0,Hybrid
Off-Road,Jeep Wrangler,"Heated Seats, Backup Camera, All-Wheel Drive, Lane Departure Warning, Bluetooth, Air Conditioning",3022,7,No,4.2,Hybrid
Luxury,Lexus LS,"Hybrid Engine, Heated Seats, Lane Departure Warning",5578,4,Yes,3.5,Hybrid
Luxury,Jaguar XJ,"Lane Departure Warning, Blind Spot Monitor, GPS Navigation, Bluetooth, Parking Sensors, Leather Seats",5405,6,No,3.2,Hybrid
Off-Road,Suzuki Jimny,"Lane Departure Warning, Cruise Control, Backup Camera",3909,4,No,3.4,Hybrid
Vintage,Plymouth Road Runner,"GPS Navigation, Air Conditioning, Parking Sensors, Manual Transmission, Bluetooth",14288,7,Yes,3.6,Electric
Luxury,Mercedes-Benz S-Class,"All-Wheel Drive, Electric Engine, Cruise Control, Manual Transmission, Automatic Transmission",8764,6,No,4.2,Hybrid
SUV,Tata Safari,"Lane Departure Warning, Leather Seats, Parking Sensors",5883,7,Yes,3.0,Diesel
Vintage,Rolls Royce Silver Ghost,"Lane Departure Warning, Hybrid Engine, Heated Seats",6130,6,No,3.7,Hybrid
SUV,Ford Endeavour,"Blind Spot Monitor, All-Wheel Drive, Cruise Control, GPS Navigation, Sunroof, Leather Seats",4298,7,Yes,3.5,Hybrid
Off-Road,Suzuki Jimny,"Manual Transmission, Cruise Control, Blind Spot Monitor, Parking Sensors",4000,5,No,4.0,Petrol
Electric,Tesla Model 3,"Bluetooth, Hybrid Engine, Automatic Transmission, Air Conditioning, Parking Sensors",2130,5,No,4.2,Electric
Electric,Hyundai Kona Electric,"Hybrid Engine, Backup Camera, Air Conditioning",3742,7,Yes,4.1,Electric
Vintage,Chevrolet Bel Air,"Manual Transmission, Hybrid Engine, Cruise Control, Automatic Transmission, Electric Engine",5046,6,Yes,4.7,Hybrid
Electric,Tata Nexon EV,"Automatic Transmission, Backup Camera, Air Conditioning, Parking Sensors, Bluetooth",2183,5,Yes,4.1,Electric
SUV,Toyota Fortuner,"Manual Transmission, Automatic Transmission, Bluetooth, Air Conditioning, Hybrid Engine, Heated Seats",5975,7,Yes,3.1,Petrol
Electric,Tata Nexon EV,"All-Wheel Drive, Blind Spot Monitor, Air Conditioning, Sunroof, Automatic Transmission, Bluetooth",3335,6,Yes,4.3,Electric
Luxury,Mercedes-Benz S-Class,"Bluetooth, Cruise Control, Manual Transmission, Air Conditioning, Leather Seats, Parking Sensors",6752,5,Yes,4.5,Hybrid
Off-Road,Suzuki Jimny,"Lane Departure Warning, Sunroof, Automatic Transmission, Cruise Control",4210,6,No,3.3,Electric
SUV,Jeep Compass,"Automatic Transmission, Leather Seats, All-Wheel Drive, Backup Camera, Bluetooth, Hybrid Engine",4106,5,No,5.0,Electric
Luxury,Jaguar XJ,"All-Wheel Drive, Leather Seats, Automatic Transmission, Blind Spot Monitor, Air Conditioning",11012,5,No,3.7,Electric
Electric,MG ZS EV,"Manual Transmission, Cruise Control, Heated Seats, Electric Engine, Air Conditioning",3157,7,No,4.0,Electric
Vintage,Rolls Royce Silver Ghost,"Heated Seats, Cruise Control, Blind Spot Monitor, Air Conditioning, Parking Sensors",7383,5,No,4.8,Electric
SUV,Toyota Fortuner,"Blind Spot Monitor, GPS Navigation, Automatic Transmission, Backup Camera, Hybrid Engine",4508,5,No,3.6,Diesel
Luxury,Audi A8,"Lane Departure Warning, GPS Navigation, Blind Spot Monitor, Hybrid Engine, Backup Camera",6415,4,No,4.1,Petrol
Vintage,Rolls Royce Silver Ghost,"Automatic Transmission, Hybrid Engine, Air Conditioning",6447,7,Yes,4.7,Electric
SUV,Mahindra XUV700,"Automatic Transmission, Parking Sensors, GPS Navigation",5493,7,Yes,3.6,Electric
Hatchback,Tata Tiago,"Air Conditioning, Blind Spot Monitor, Sunroof, Backup Camera, Hybrid Engine, Electric Engine",2037,4,No,4.5,Hybrid
Hatchback,Maruti Suzuki Baleno,"All-Wheel Drive, Air Conditioning, GPS Navigation",2458,6,No,4.2,Electric
Hatchback,Tata Altroz,"GPS Navigation, Bluetooth, Blind Spot Monitor, Hybrid Engine, Air Conditioning, Lane Departure Warning",1970,7,No,3.4,Petrol
SUV,Tata Safari,"Parking Sensors, Bluetooth, Heated Seats, Leather Seats",3598,5,Yes,4.3,Diesel
Vintage,Plymouth Road Runner,"All-Wheel Drive, Backup Camera, Blind Spot Monitor, Lane Departure Warning",5167,6,Yes,3.9,Petrol
Off-Road,Jeep Wrangler,"Blind Spot Monitor, All-Wheel Drive, Bluetooth",5318,6,No,4.6,Hybrid
Electric,MG ZS EV,"Backup Camera, Bluetooth, Hybrid Engine",2285,6,Yes,3.5,Electric
Hatchback,Maruti Suzuki Swift,"Cruise Control, Backup Camera, Bluetooth, GPS Navigation",1240,6,No,3.7,Electric
Hatchback,Nissan Magnite,"All-Wheel Drive, Bluetooth, GPS Navigation, Air Conditioning, Sunroof, Manual Transmission",2745,4,No,4.0,Diesel
Hatchback,Maruti Suzuki Celerio,"Air Conditioning, Electric Engine, Backup Camera, Bluetooth, Automatic Transmission, All-Wheel Drive",1324,4,No,3.6,Diesel
Vintage,Ford Model T,"Electric Engine, Blind Spot Monitor, Air Conditioning, Lane Departure Warning, Manual Transmission, Leather Seats",9952,7,Yes,3.8,Diesel
SUV,Ford Endeavour,"Parking Sensors, GPS Navigation, Blind Spot Monitor",5842,4,Yes,3.5,Hybrid
SUV,Toyota Fortuner,"Leather Seats, Electric Engine, Lane Departure Warning",5810,6,No,4.8,Diesel
Vintage,Jaguar XK120,"Electric Engine, Hybrid Engine, Sunroof, Lane Departure Warning, Backup Camera",13725,6,Yes,3.2,Electric
SUV,Toyota Fortuner,"Leather Seats, Air Conditioning, Cruise Control, Bluetooth, Heated Seats, Lane Departure Warning",3259,4,No,3.7,Diesel
Luxury,Jaguar XJ,"Manual Transmission, Heated Seats, GPS Navigation, Parking Sensors, Hybrid Engine, Electric Engine",10804,6,Yes,3.2,Electric
Electric,Hyundai Kona Electric,"Parking Sensors, Sunroof, Hybrid Engine",3838,7,No,3.8,Electric
SUV,Toyota Fortuner,"Heated Seats, Cruise Control, Hybrid Engine, All-Wheel Drive",4819,7,Yes,4.9,Electric
Electric,Mahindra eVerito,"Heated Seats, Lane Departure Warning, Leather Seats, Air Conditioning, Electric Engine, Sunroof",3642,5,Yes,4.7,Electric
Vintage,Ford Model T,"Bluetooth, All-Wheel Drive, Air Conditioning, Electric Engine",8434,7,Yes,4.7,Hybrid
Luxury,Jaguar XJ,"GPS Navigation, Backup Camera, Blind Spot Monitor, Bluetooth, Leather Seats",7124,4,No,4.0,Hybrid
SUV,Ford Endeavour,"Sunroof, Heated Seats, Parking Sensors",5481,4,No,3.3,Diesel
Off-Road,Toyota Land Cruiser,"Parking Sensors, Manual Transmission, Backup Camera, Automatic Transmission",3218,5,No,3.9,Hybrid
Vintage,Rolls Royce Silver Ghost,"Blind Spot Monitor, Sunroof, Manual Transmission, All-Wheel Drive",7015,4,Yes,3.2,Hybrid
Luxury,Lexus LS,"All-Wheel Drive, Heated Seats, Sunroof, Air Conditioning, Parking Sensors, Automatic Transmission",9070,6,No,4.9,Petrol
Electric,MG ZS EV,"Electric Engine, GPS Navigation, Cruise Control, Automatic Transmission, Backup Camera, Manual Transmission",2657,4,No,3.9,Electric
Luxury,Mercedes-Benz S-Class,"Cruise Control, All-Wheel Drive, Air Conditioning",8841,5,No,4.0,Electric
Electric,MG ZS EV,"Hybrid Engine, Blind Spot Monitor, Automatic Transmission, Air Conditioning, Electric Engine",3448,5,No,4.2,Electric
Luxury,Mercedes-Benz S-Class,"Bluetooth, Heated Seats, GPS Navigation, All-Wheel Drive",9926,6,Yes,3.9,Diesel
Hatchback,Honda Jazz,"Backup Camera, Hybrid Engine, Bluetooth",1016,5,Yes,3.2,Electric
Off-Road,Ford Bronco,"All-Wheel Drive, Heated Seats, Air Conditioning, Manual Transmission, Lane Departure Warning",5430,6,No,4.3,Diesel
Luxury,Lexus LS,"Leather Seats, Electric Engine, All-Wheel Drive, Cruise Control, Backup Camera",9482,6,No,3.0,Electric
Electric,Mahindra eVerito,"Heated Seats, Bluetooth, Hybrid Engine, Manual Transmission",3639,5,Yes,4.9,Electric
SUV,Ford Endeavour,"Blind Spot Monitor, Hybrid Engine, Heated Seats, Leather Seats, GPS Navigation",4310,5,Yes,4.2,Hybrid
Electric,Tesla Model 3,"Electric Engine, Blind Spot Monitor, Cruise Control, Backup Camera",3298,5,Yes,4.2,Electric
Electric,MG ZS EV,"Automatic Transmission, Manual Transmission, GPS Navigation, Bluetooth, Leather Seats",2969,5,Yes,4.4,Electric
SUV,Toyota Fortuner,"Backup Camera, Lane Departure Warning, Electric Engine",4257,4,No,3.1,Diesel
Off-Road,Jeep Wrangler,"Bluetooth, Air Conditioning, Leather Seats",3159,5,No,4.0,Petrol
Hatchback,Hyundai Grand i10 Nios,"Leather Seats, Hybrid Engine, Bluetooth",2057,4,No,3.4,Hybrid
Off-Road,Land Rover Defender,"Electric Engine, Bluetooth, Backup Camera, Leather Seats, Hybrid Engine",3251,5,No,3.7,Petrol
Electric,Tata Nexon EV,"Electric Engine, Cruise Control, Leather Seats, Sunroof, Heated Seats, Blind Spot Monitor",3497,7,Yes,3.8,Electric
Luxury,Jaguar XJ,"Electric Engine, Manual Transmission, Hybrid Engine, Bluetooth, Blind Spot Monitor, Air Conditioning",5302,4,Yes,4.8,Petrol
Electric,MG ZS EV,"All-Wheel Drive, Backup Camera, Lane Departure Warning, Electric Engine, Air Conditioning",3019,6,No,3.4,Electric
Electric,Tesla Model 3,"Hybrid Engine, Air Conditioning, Automatic Transmission, Backup Camera, Cruise Control, All-Wheel Drive",2865,4,No,3.7,Electric
Off-Road,Jeep Wrangler,"Air Conditioning, Leather Seats, GPS Navigation",5954,5,No,3.6,Hybrid
Off-Road,Toyota Land Cruiser,"Backup Camera, Automatic Transmission, Leather Seats, Lane Departure Warning, Blind Spot Monitor",5328,6,No,3.0,Petrol
SUV,Toyota Fortuner,"Automatic Transmission, Sunroof, Lane Departure Warning, Backup Camera, Cruise Control, Manual Transmission",3130,6,Yes,3.5,Petrol
Hatchback,Honda WR-V,"Hybrid Engine, Air Conditioning, Manual Transmission, Heated Seats",2650,6,Yes,4.2,Hybrid
Off-Road,Ford Bronco,"Hybrid Engine, Bluetooth, Blind Spot Monitor, Cruise Control, Leather Seats",4724,5,No,4.3,Petrol
SUV,Tata Safari,"Bluetooth, Hybrid Engine, Manual Transmission, GPS Navigation, Automatic Transmission, Blind Spot Monitor",4510,7,No,4.0,Petrol
Off-Road,Land Rover Defender,"All-Wheel Drive, Parking Sensors, Sunroof",4900,4,Yes,4.9,Hybrid
Electric,Tesla Model 3,"Automatic Transmission, Leather Seats, Heated Seats, Electric Engine, GPS Navigation, Hybrid Engine",2660,5,Yes,3.1,Electric
Luxury,Lexus LS,"Blind Spot Monitor, Cruise Control, Backup Camera",11872,4,Yes,3.7,Electric
SUV,Jeep Compass,"Heated Seats, Manual Transmission, Leather Seats, GPS Navigation, Lane Departure Warning, Blind Spot Monitor",4468,6,Yes,4.8,Petrol
Off-Road,Jeep Wrangler,"Heated Seats, Leather Seats, Cruise Control, Automatic Transmission",3061,6,Yes,3.9,Petrol
SUV,Tata Safari,"Manual Transmission, Parking Sensors, GPS Navigation",4343,5,No,3.0,Hybrid
Luxury,Lexus LS,"Air Conditioning, Heated Seats, Blind Spot Monitor, Leather Seats, Sunroof, Lane Departure Warning",11490,5,Yes,4.1,Petrol
Electric,MG ZS EV,"Bluetooth, Parking Sensors, Heated Seats, Sunroof, Backup Camera",3001,6,Yes,4.3,Electric
SUV,Ford Endeavour,"Manual Transmission, Electric Engine, Lane Departure Warning, Hybrid Engine, Air Conditioning, Cruise Control",4898,6,No,3.4,Electric
Electric,Tata Nexon EV,"Sunroof, All-Wheel Drive, GPS Navigation, Bluetooth, Parking Sensors",3675,4,No,3.1,Electric
Luxury,Audi A8,"Backup Camera, Heated Seats, Air Conditioning",5159,7,Yes,4.8,Hybrid
Electric,Hyundai Kona Electric,"Hybrid Engine, Blind Spot Monitor, Cruise Control, Sunroof",3919,7,Yes,3.2,Electric
Electric,Hyundai Kona Electric,"Electric Engine, Heated Seats, Hybrid Engine",3509,4,No,4.1,Electric
Hatchback,Maruti Suzuki Baleno,"Manual Transmission, Automatic Transmission, Leather Seats, Cruise Control, Electric Engine, Blind Spot Monitor",1140,7,Yes,4.5,Electric
SUV,Tata Safari,"Leather Seats, All-Wheel Drive, GPS Navigation, Parking Sensors, Bluetooth, Air Conditioning",5593,4,No,3.2,Hybrid
Hatchback,Hyundai i20,"Hybrid Engine, Heated Seats, Automatic Transmission, Air Conditioning",1077,6,Yes,4.5,Petrol
Off-Road,Land Rover Defender,"Automatic Transmission, Heated Seats, Cruise Control",4074,7,Yes,4.6,Diesel
SUV,Ford Endeavour,"Hybrid Engine, Parking Sensors, Manual Transmission",3869,4,Yes,4.7,Hybrid
Electric,Mahindra eVerito,"All-Wheel Drive, Hybrid Engine, Sunroof",2159,4,No,3.2,Electric
Electric,MG ZS EV,"Parking Sensors, Lane Departure Warning, Leather Seats",3196,4,Yes,3.4,Electric
Luxury,BMW 7 Series,"Leather Seats, Heated Seats, Bluetooth, Manual Transmission, Electric Engine, Parking Sensors",10194,5,Yes,4.2,Diesel
Hatchback,Tata Altroz,"Bluetooth, Cruise Control, All-Wheel Drive, Automatic Transmission",1335,6,No,4.0,Diesel
Off-Road,Ford Bronco,"GPS Navigation, Air Conditioning, Manual Transmission",5675,6,Yes,3.7,Diesel
Off-Road,Suzuki Jimny,"Leather Seats, GPS Navigation, Lane Departure Warning, Sunroof, Bluetooth, Parking Sensors",4851,7,Yes,3.7,Petrol
SUV,Jeep Compass,"Blind Spot Monitor, Bluetooth, Automatic Transmission",5710,4,Yes,4.9,Diesel
Electric,MG ZS EV,"Bluetooth, GPS Navigation, Blind Spot Monitor",2678,7,Yes,3.6,Electric
Luxury,Mercedes-Benz S-Class,"GPS Navigation, All-Wheel Drive, Heated Seats, Leather Seats, Blind Spot Monitor, Lane Departure Warning",10052,5,Yes,4.1,Hybrid
SUV,Toyota Fortuner,"Leather Seats, Electric Engine, Backup Camera, Bluetooth, Blind Spot Monitor, Parking Sensors",3723,7,No,4.3,Diesel
Luxury,Lexus LS,"GPS Navigation, Lane Departure Warning, Bluetooth, Parking Sensors",11269,5,Yes,5.0,Diesel
Luxury,Jaguar XJ,"Hybrid Engine, Electric Engine, Sunroof, Parking Sensors, Blind Spot Monitor",7565,5,No,4.8,Electric
Luxury,BMW 7 Series,"Air Conditioning, Leather Seats, Backup Camera, GPS Navigation",10859,5,No,3.5,Petrol
Luxury,Mercedes-Benz S-Class,"All-Wheel Drive, Heated Seats, Hybrid Engine, Blind Spot Monitor, Backup Camera, Cruise Control",8139,5,No,3.1,Petrol
Off-Road,Suzuki Jimny,"All-Wheel Drive, GPS Navigation, Heated Seats",3940,6,No,4.8,Petrol
Off-Road,Ford Bronco,"GPS Navigation, Electric Engine, Manual Transmission",5040,5,Yes,4.5,Electric
Luxury,Lexus LS,"Lane Departure Warning, Heated Seats, All-Wheel Drive, Air Conditioning, Leather Seats",8306,6,No,3.6,Diesel
Electric,Mahindra eVerito,"Sunroof, Cruise Control, Heated Seats",3762,4,No,4.2,Electric
Off-Road,Suzuki Jimny,"Parking Sensors, Manual Transmission, Leather Seats, Lane Departure Warning, Heated Seats, Blind Spot Monitor",3353,5,No,3.3,Electric
Electric,Tata Nexon EV,"Parking Sensors, Heated Seats, GPS Navigation, Air Conditioning",2395,4,Yes,3.8,Electric
Electric,Tata Nexon EV,"Air Conditioning, Electric Engine, GPS Navigation, Leather Seats, Bluetooth",3724,5,No,4.2,Electric
Vintage,Ford Model T,"All-Wheel Drive, Air Conditioning, Leather Seats, Blind Spot Monitor, Heated Seats",14191,4,Yes,4.1,Electric
Hatchback,Hyundai Santro,"Parking Sensors, Cruise Control, Lane Departure Warning, Electric Engine, Leather Seats, Manual Transmission",2048,4,Yes,3.7,Petrol
Electric,Mahindra eVerito,"Electric Engine, Bluetooth, Blind Spot Monitor",2635,5,No,4.3,Electric
Vintage,Chevrolet Bel Air,"Leather Seats, Sunroof, GPS Navigation, Manual Transmission, Air Conditioning, Backup Camera",9920,5,Yes,3.1,Hybrid
Hatchback,Honda WR-V,"Blind Spot Monitor, Cruise Control, All-Wheel Drive, Backup Camera, Automatic Transmission, Sunroof",2245,5,No,3.7,Hybrid
Vintage,Ford Model T,"Leather Seats, Backup Camera, All-Wheel Drive",10800,7,No,3.9,Diesel
Off-Road,Jeep Wrangler,"Electric Engine, Hybrid Engine, Manual Transmission, Cruise Control, All-Wheel Drive",5040,5,No,3.3,Electric
Off-Road,Jeep Wrangler,"All-Wheel Drive, Automatic Transmission, Bluetooth, Manual Transmission",3737,7,Yes,4.9,Electric
SUV,Ford Endeavour,"Air Conditioning, GPS Navigation, Electric Engine",3678,4,Yes,4.4,Diesel
Hatchback,Honda WR-V,"GPS Navigation, Bluetooth, Sunroof, Cruise Control",1339,6,No,4.3,Electric
Electric,Tesla Model 3,"Leather Seats, Parking Sensors, Manual Transmission, Heated Seats, GPS Navigation",2748,6,Yes,3.6,Electric
Luxury,Audi A8,"Backup Camera, GPS Navigation, Cruise Control",10657,6,Yes,3.4,Diesel
Electric,Hyundai Kona Electric,"Bluetooth, Blind Spot Monitor, Sunroof, All-Wheel Drive, Parking Sensors, Lane Departure Warning",2723,6,Yes,4.3,Electric
SUV,Mahindra XUV700,"Parking Sensors, Leather Seats, Bluetooth, GPS Navigation, All-Wheel Drive",3128,4,No,4.3,Petrol
Off-Road,Toyota Land Cruiser,"Lane Departure Warning, Backup Camera, Sunroof, Automatic Transmission, Parking Sensors, Heated Seats",4130,4,Yes,5.0,Electric
Electric,Mahindra eVerito,"Lane Departure Warning, Automatic Transmission, Air Conditioning, Leather Seats, Bluetooth",3002,7,Yes,3.1,Electric
Off-Road,Suzuki Jimny,"Leather Seats, Blind Spot Monitor, Parking Sensors, Sunroof, Heated Seats",5059,5,No,4.9,Hybrid
Luxury,Audi A8,"Heated Seats, Backup Camera, Electric Engine, Lane Departure Warning, Leather Seats",8880,6,Yes,4.8,Petrol
Vintage,Ford Model T,"Air Conditioning, Automatic Transmission, Cruise Control, Blind Spot Monitor, GPS Navigation",9565,7,No,3.7,Petrol
Electric,Hyundai Kona Electric,"Manual Transmission, Automatic Transmission, Blind Spot Monitor, Air Conditioning",3467,7,Yes,4.3,Electric
Electric,Tesla Model 3,"Blind Spot Monitor, Sunroof, All-Wheel Drive, Cruise Control, Backup Camera",3281,6,Yes,4.1,Electric
Luxury,Jaguar XJ,"Electric Engine, Backup Camera, Heated Seats",5390,6,Yes,4.8,Electric
Hatchback,Hyundai i20,"Parking Sensors, Sunroof, Cruise Control, Automatic Transmission, Bluetooth, Electric Engine",2645,4,Yes,4.2,Diesel
Off-Road,Ford Bronco,"Bluetooth, Parking Sensors, Automatic Transmission, Heated Seats, Sunroof",3885,4,No,4.2,Petrol
Hatchback,Ford Figo,"GPS Navigation, Heated Seats, Electric Engine, Lane Departure Warning, Leather Seats",2828,4,Yes,3.2,Electric
Hatchback,Ford Figo,"Cruise Control, Air Conditioning, Sunroof, Backup Camera",2470,6,Yes,4.1,Electric
Electric,Tata Nexon EV,"Hybrid Engine, All-Wheel Drive, Sunroof, Leather Seats, Lane Departure Warning",3614,4,No,3.7,Electric
Off-Road,Suzuki Jimny,"Heated Seats, Manual Transmission, Leather Seats, GPS Navigation",3558,5,Yes,4.1,Hybrid
Hatchback,Tata Altroz,"GPS Navigation, Blind Spot Monitor, Air Conditioning, Hybrid Engine, Cruise Control",2269,7,No,4.6,Hybrid
Off-Road,Suzuki Jimny,"Leather Seats, GPS Navigation, Automatic Transmission, Heated Seats",4345,6,No,3.9,Hybrid
Off-Road,Ford Bronco,"Bluetooth, Parking Sensors, Cruise Control, Hybrid Engine, Air Conditioning, Automatic Transmission",4337,5,Yes,3.5,Petrol
SUV,Ford Endeavour,"Air Conditioning, Backup Camera, Sunroof, Electric Engine, Manual Transmission, All-Wheel Drive",3937,6,No,4.1,Diesel
SUV,Ford Endeavour,"Heated Seats, All-Wheel Drive, Blind Spot Monitor, Electric Engine, Backup Camera",3973,7,No,4.2,Diesel
Hatchback,Tata Tiago,"Automatic Transmission, Manual Transmission, Sunroof",1140,6,No,5.0,Electric
SUV,Mahindra XUV700,"Parking Sensors, Backup Camera, Heated Seats, Sunroof",3348,4,Yes,4.9,Diesel
Luxury,Mercedes-Benz S-Class,"Hybrid Engine, Leather Seats, Sunroof, Blind Spot Monitor, Electric Engine, Manual Transmission",10111,4,No,3.8,Electric
Electric,MG ZS EV,"Automatic Transmission, Manual Transmission, Parking Sensors",2152,4,No,4.4,Electric
Vintage,Jaguar XK120,"All-Wheel Drive, Cruise Control, Sunroof, Parking Sensors, Lane Departure Warning",7105,4,Yes,4.4,Electric
Luxury,Lexus LS,"Leather Seats, GPS Navigation, Hybrid Engine, Bluetooth, All-Wheel Drive",5614,5,Yes,5.0,Petrol
